best,worst,option1,option2,option3,option4
n_Va-ord-C5-pp.wav,n_Fl-mul-A#5_G#4_C#6_C5-mf.wav,n_Va-ord-C5-pp.wav,n_ClBb-flatt-C6-ff.wav,n_Fl-mul-A#5_G#4_C#6_C5-mf.wav,n_ASax-ord_C6-ff.wav
n_KFA-L_nA_sus_p_C3.wav,n_MA_ES_A-Ha_f_C5.wav,n_Bn-ord-C3-pp.wav,n_KFA-L_nA_sus_p_C3.wav,n_Va-pont-C6-mf.wav,n_MA_ES_A-Ha_f_C5.wav
n_Gtr-ord-C4-pp.wav,n_Va-pizz_bartok-C3-ff.wav,n_Va-pizz_bartok-C3-ff.wav,n_TpC-ord-C5-pp.wav,n_Gtr-ord-C4-pp.wav,n_Vib_ES_So_sp-0_f1_C5.wav
n_Cb-ord-C2-ff.wav,n_Vn-pizz_lv-C4-pp.wav,n_Vn-pizz_lv-C4-pp.wav,n_Cb-ord-C2-ff.wav,n_Bn-ord-C4-mf.wav,n_KFA-L_nA_sus_ff_C3.wav
n_Fl-ord-C4-pp.wav,n_ClBb-flatt-C5-ff.wav,n_Fl-ord-C4-pp.wav,n_Cb-harm_artificial-C6-mf.wav,n_ClBb-flatt-C5-ff.wav,n_TpC-ord-C4-ff.wav
n_Cb-nonvib-C2-pp.wav,n_TpC-ord-C6-mf.wav,n_ASax-ord-C4-ff.wav,n_Fl-aeolian+ord-C4-pp.wav,n_TpC-ord-C6-mf.wav,n_Cb-nonvib-C2-pp.wav
n_Bn-flatt-C3-mf.wav,n_Vn-harm_artificial-C7-mf.wav,n_KFA_Flatter_f_C1.wav,n_Bn-flatt-C3-mf.wav,n_Hn-stacc-C2-mf.wav,n_Vn-harm_artificial-C7-mf.wav
n_MA_ES_A-Ha_f_C3.wav,n_Xyl_HO_f_C6.wav,n_MA_ES_A-Ha_f_C3.wav,n_Fl-flatt-C5-mf.wav,n_Xyl_HO_f_C6.wav,n_Hp-harm_fingering-C6-p.wav
n_Va-ord-C4-ff.wav,n_Fl-flatt-C7-ff.wav,n_Acc-ord-C4-pp.wav,n_Hp-harm_fingering-C4-p.wav,n_Va-ord-C4-ff.wav,n_Fl-flatt-C7-ff.wav
n_Ob-ord-C4-pp.wav,n_Va-pizz_lv-C6-ff.wav,n_Fl-flatt-C4-mf.wav,n_Ob-ord-C4-pp.wav,n_Ob-ord-C4-ff.wav,n_Va-pizz_lv-C6-ff.wav
n_Cb-pizz_lv-C2-mf.wav,n_Vn-ord-C7-ff.wav,n_Cb-pizz_lv-C2-mf.wav,n_Vn-ord-C7-ff.wav,n_Vc-pizz_lv-C4-mf.wav,n_TpC-flatt-C4-pp.wav
n_BTb-flatt-C4-mf.wav,n_AFL-L_oV_pA_sus_mf_C6.wav,n_AFL-L_oV_pA_sus_mf_C6.wav,n_EH-L_pA_sus_f_C4.wav,n_Tbn-flatt-C3-pp.wav,n_BTb-flatt-C4-mf.wav
n_Hn-ord-C4-pp.wav,n_Xyl_HO_f_C7.wav,n_Hn-brassy-C4-ff.wav,n_AFL-L_oV_pA_sus_p_C6.wav,n_Hn-ord-C4-pp.wav,n_Xyl_HO_f_C7.wav
n_Vc-nonvib-C3-pp.wav,n_Ob-mul-C5+_A#5_B4-f.wav,n_Ob-mul-C5+_A#5_B4-f.wav,n_Ob-ord-C6-pp.wav,n_AFL-L_oV_pA_sus_mf_C5.wav,n_Vc-nonvib-C3-pp.wav
n_AFL-L_oV_pA_sus_f_C5.wav,n_MA_ES_A-Ha_f_C6.wav,n_AFL-L_oV_pA_sus_f_C5.wav,n_MA_ES_A-Ha_f_C6.wav,n_Va-ord-C6-pp.wav,n_BTb-ord-C1-ff.wav
n_KFA-L_nA_sus_mf_C3.wav,n_Va-harm_artificial-C7-mf.wav,n_TpC+H-ord-C4-mf.wav,n_KFA-L_nA_sus_mf_C3.wav,n_Fl-ord-C4-ff.wav,n_Va-harm_artificial-C7-mf.wav
n_MA_ES_A-So_f_C2.wav,n_Bn-mul-F#4+_C#4-mf.wav,n_Bn-mul-F#4+_C#4-mf.wav,n_Xyl_HO_p_C6.wav,n_Xyl_GA_p_C7.wav,n_MA_ES_A-So_f_C2.wav
n_Gtr-ord-C3-pp.wav,n_PFL-L_LV_nA_sus_f_C8.wav,n_PFL-L_LV_nA_sus_f_C8.wav,n_BTb-ord-C4-pp.wav,n_EH_Flatter_f_C4.wav,n_Gtr-ord-C3-pp.wav
n_Cb-nonvib-C5-pp.wav,n_Vn-nonvib-C6-ff.wav,n_Acc-ord-C4-mf.wav,n_Vn-nonvib-C6-ff.wav,n_Vc-nonvib-C4-ff.wav,n_Cb-nonvib-C5-pp.wav
n_AFL-L_oV_pA_sus_f_C6.wav,n_Bn-mul-C4_D#4_D4_G#3-mf.wav,n_Va-pizz_lv-C4-ff.wav,n_Vn-pont-C6-mf.wav,n_Bn-mul-C4_D#4_D4_G#3-mf.wav,n_AFL-L_oV_pA_sus_f_C6.wav
n_MA_ES_A-Ha_p_C2.wav,n_Tbn-brassy-C4-ff.wav,n_KFA-L_nA_sus_ff_C2.wav,n_Tbn-brassy-C4-ff.wav,n_MA_ES_A-Ha_p_C2.wav,n_Hp-ord-C4-pp.wav
n_ASax-ord-C4-mf.wav,n_Gsp_ME_p_C8.wav,n_Tbn-flatt-C4-pp.wav,n_Gsp_ME_p_C8.wav,n_ASax-ord-C4-mf.wav,n_Fl-aeolian+ord-C5-pp.wav
n_Va-pizz_bartok-C4-ff.wav,n_Xyl_HO_p_C8.wav,n_Xyl_HO_p_C8.wav,n_Va-pizz_bartok-C4-ff.wav,n_ClBb-mul-D3_C4-mf.wav,n_Xyl_GA_p_C8.wav
n_BKL-L_pA_sus_f_C4.wav,n_Va-nonvib-C6-pp.wav,n_BKL-L_pA_sus_f_C2.wav,n_Ob-ord-C5-mf.wav,n_BKL-L_pA_sus_f_C4.wav,n_Va-nonvib-C6-pp.wav
n_Bn-ord-C5-pp.wav,n_Vn-ord-C4-ff.wav,n_Vn-ord-C4-ff.wav,n_Acc-ord-C6-pp.wav,n_TpC-ord-C4-mf.wav,n_Bn-ord-C5-pp.wav
n_BTb-ord-C3-mf.wav,n_TpC-flatt-C5-ff.wav,n_BTb-play+sing_min2nd-C3-mf.wav,n_TpC-flatt-C5-ff.wav,n_BTb-ord-C3-mf.wav,n_Acc-ord-C6-ff.wav
n_Hn-ord-C3-mf.wav,n_PFL-L_LV_nA_sus_p_C7.wav,n_PFL-L_LV_nA_sus_p_C7.wav,n_Vc-pizz_lv-C3-ff.wav,n_MA_ES_A-Ha_f_C2.wav,n_Hn-ord-C3-mf.wav
n_Cb-pizz_lv-C4-pp.wav,n_Ob-ord-C5-pp.wav,n_Acc-ord-C2-ff.wav,n_Hn-flatt-C3-ff.wav,n_Cb-pizz_lv-C4-pp.wav,n_Ob-ord-C5-pp.wav
n_Cb-harm_artificial-C5-mf.wav,n_Fl-flatt-C6-pp.wav,n_Xyl_HO_f_C5.wav,n_Cb-harm_artificial-C5-mf.wav,n_Hp-ord-C5-ff.wav,n_Fl-flatt-C6-pp.wav
n_Hn-ord-C2-ff.wav,n_Vib_ES_Ha_sp-0_f1_C4.wav,n_KFA-L_nA_sus_p_C1.wav,n_Vib_ES_Ha_sp-0_f1_C4.wav,n_Vn-nonvib-C7-ff.wav,n_Hn-ord-C2-ff.wav
n_Bn-ord-C2-ff.wav,n_Vc-pizz_lv-C5-ff.wav,n_Bn-ord-C2-ff.wav,n_AFL_flatter_p_C4.wav,n_Vc-pizz_lv-C5-ff.wav,n_Fl-ord-C5-mf.wav
n_MA_ES_A-So_p_C2.wav,n_Gsp_HH_f_C7.wav,n_MA_ES_A-So_p_C2.wav,n_Gsp_HH_f_C7.wav,n_Fl-ord-C6-pp.wav,n_Fl-mul-C#6+_C5+_D#5_G5-mf.wav
n_Cb-ord-C5-ff.wav,n_Fl-flatt-C6-ff.wav,n_Cb-ord-C5-ff.wav,n_Fl-flatt-C6-ff.wav,n_Fl-ord-C7-mf.wav,n_Fl-flatt-C7-pp.wav
n_Cb-pizz_lv-C4-mf.wav,n_Vn-harm_artificial-C6-mf.wav,n_Fl-flatt-C7-mf.wav,n_Cb-pizz_lv-C4-mf.wav,n_Vn-harm_artificial-C6-mf.wav,n_Vc-nonvib-C5-ff.wav
n_Gtr-pont-C3-mf-5c.wav,n_Acc-ord-C5-ff.wav,n_Gtr-pont-C3-mf-5c.wav,n_Cb-pont-C3-mf-2c.wav,n_Vc-pont-C2-mf-4c.wav,n_Acc-ord-C5-ff.wav
n_BKL-L_pA_sus_mf_C3.wav,n_PFL-L_LV_nA_sus_mf_C8.wav,n_BTb-ord-C3-ff.wav,n_BKL-L_pA_sus_mf_C3.wav,n_PFL-L_LV_nA_sus_mf_C8.wav,n_TpC-stacc-C6-mf.wav
n_Va-ord-C4-pp.wav,n_Xyl_GA_f_C8.wav,n_ASax-mul-E4_G4_F#5+-mf.wav,n_Xyl_GA_f_C8.wav,n_Vc-ord-C6-pp.wav,n_Va-ord-C4-pp.wav
n_BTb-ord-C2-pp.wav,n_Gsp_HH_f_C8.wav,n_Va-pizz_lv-C5-mf.wav,n_BTb-ord-C2-pp.wav,n_Gsp_HH_f_C8.wav,n_Hn-flatt-C4-ff.wav
n_BKL_stac_mf1_C3.wav,n_TpC-brassy-C5-ff.wav,n_BKL_stac_mf1_C3.wav,n_Tbn-flatt-C5-ff.wav,n_TpC-brassy-C5-ff.wav,n_ClBb-ord-C5-pp.wav
n_BTb-ord-C2-mf.wav,n_Ob-mul-C6+_D#5+_A#4-f.wav,n_Ob-mul-C6+_D#5+_A#4-f.wav,n_BTb-ord-C2-mf.wav,n_BTb-ord-C1-pp.wav,n_ClBb-flatt-C6-pp.wav
n_ClBb-flatt-C4-ff.wav,n_Fl-mul-G5_F4_C#6-mf.wav,n_Fl-ord-C5-ff.wav,n_ClBb-flatt-C4-ff.wav,n_Fl-mul-G5_F4_C#6-mf.wav,n_Hn-brassy-C2-ff.wav
n_Ob-ord-C4-mf.wav,n_Va-pont-C4-mf.wav,n_Ob-ord-C4-mf.wav,n_Va-nonvib-C5-pp.wav,n_Va-pont-C4-mf.wav,n_EH-L_pA_sus_pp_C5.wav
n_Va-ord-C5-ff.wav,n_ClBb-ord-C6-pp.wav,n_Va-ord-C5-ff.wav,n_Ob-flatt-C5-mf.wav,n_Vc-nonvib-C6-ff.wav,n_ClBb-ord-C6-pp.wav
n_Va-nonvib-C4-ff.wav,n_Acc-ord-C7-pp.wav,n_Va-nonvib-C4-ff.wav,n_KFA-L_nA_sus_ff_C1.wav,n_MA_ES_A-So_p_C5.wav,n_Acc-ord-C7-pp.wav
n_Tbn-ord-C3-mf.wav,n_Va-pizz_bartok-C6-ff.wav,n_Gtr-pont-C4-mf-2c.wav,n_BKL_stac_mf1_C4.wav,n_Tbn-ord-C3-mf.wav,n_Va-pizz_bartok-C6-ff.wav
n_Tbn+H-ord-C2-mf.wav,n_Vc-nonvib-C5-pp.wav,n_Tbn+H-ord-C2-mf.wav,n_Vn-ord-C4-pp.wav,n_AFL_flatter_p_C5.wav,n_Vc-nonvib-C5-pp.wav
n_Tbn+H-ord-C3-mf.wav,n_TpC-stacc-C4-mf.wav,n_TpC-stacc-C4-mf.wav,n_Tbn+H-ord-C3-mf.wav,n_BKL-L_pA_sus_pp_C3.wav,n_BTb-play+sing_aug4th-C4-mf.wav
n_MA_ES_A-Ha_p_C5.wav,n_Acc-ord-C7-ff.wav,n_Acc-ord-C7-ff.wav,n_Fl-ord-C7-pp.wav,n_Fl-mul-A#4+_D5+-mf.wav,n_MA_ES_A-Ha_p_C5.wav
n_Vc-ord-C4-pp.wav,n_Ob-flatt-C4-mf.wav,n_Vib_ES_So_sp-0_p1_C5.wav,n_Ob-flatt-C4-mf.wav,n_Vib_ES_So_sp-0_p1_C4.wav,n_Vc-ord-C4-pp.wav
n_Cb-nonvib-C5-ff.wav,n_PFL_FLatter_f_C6.wav,n_PFL_FLatter_f_C6.wav,n_Xyl_HO_p_C5.wav,n_Hp-harm_fingering-C5-p.wav,n_Cb-nonvib-C5-ff.wav
n_Vc-ord-C3-mf.wav,n_ClBb-flatt-C5-pp.wav,n_Vc-ord-C3-mf.wav,n_MA_ES_A-So_f_C5.wav,n_TpC-brassy-C6-ff.wav,n_ClBb-flatt-C5-pp.wav
n_BKL-L_pA_sus_pp_C4.wav,n_Hp-ord-C1-pp.wav,n_PFL-L_LV_nA_sus_f_C6.wav,n_BKL-L_pA_sus_pp_C4.wav,n_Hp-ord-C1-pp.wav,n_TpC-flatt-C4-mf.wav
n_Va-pizz_lv-C4-mf.wav,n_Va-pont-C3-mf.wav,n_Vc-nonvib-C6-pp.wav,n_Va-pont-C3-mf.wav,n_Va-pizz_lv-C4-mf.wav,n_Vn-pizz_lv-C5-ff.wav
n_BKL-L_pA_sus_pp_C2.wav,n_Hn-flatt-C5-pp.wav,n_AFL_flatter_p_C6.wav,n_Hn-flatt-C5-pp.wav,n_Vc-ord-C2-pp.wav,n_BKL-L_pA_sus_pp_C2.wav
n_Tbn-ord-C3-pp.wav,n_TpC+C-ord-C4-mf.wav,n_Tbn-ord-C3-pp.wav,n_Acc-ord-C3-pp.wav,n_TpC+C-ord-C4-mf.wav,n_Tbn-ord-C5-ff.wav
n_Cb-ord-C4-ff.wav,n_Vib_ES_Ha_sp-0_f1_C5.wav,n_PFL-L_LV_nA_sus_mf_C6.wav,n_TpC-ord-C4-pp.wav,n_Cb-ord-C4-ff.wav,n_Vib_ES_Ha_sp-0_f1_C5.wav
n_ClBb-ord-C4-mf.wav,n_Vn-nonvib-C7-pp.wav,n_Vn-nonvib-C7-pp.wav,n_ASax-flatt-C5-mf.wav,n_ClBb-ord-C4-mf.wav,n_Vn-pizz_lv-C6-pp.wav
n_Hn-ord-C3-ff.wav,n_ASax-mul-E4+_C#5_A5+-mf.wav,n_MA_ES_A-So_f_C4.wav,n_ASax-mul-E4+_C#5_A5+-mf.wav,n_Hn-ord-C3-ff.wav,n_Vc-nonvib-C4-pp.wav
n_Cb-ord-C3-pp.wav,n_Acc-ord-C5-pp.wav,n_Acc-ord-C2-pp.wav,n_Cb-ord-C3-pp.wav,n_Acc-ord-C5-pp.wav,n_Cb-ord-C5-pp.wav
n_BTb-ord-C3-pp.wav,n_Vib_ES_Ha_sp-0_p1_C6.wav,n_Hn-stacc-C4-mf.wav,n_Vib_ES_Ha_sp-0_p1_C6.wav,n_Vc-ord-C5-ff.wav,n_BTb-ord-C3-pp.wav
n_Hn-ord-C2-mf.wav,n_Vn-pizz_bartok-C4-ff.wav,n_Vn-pizz_bartok-C4-ff.wav,n_Hn-ord-C2-mf.wav,n_MA_ES_A-So_f_C6.wav,n_BKL_stac_mf1_C5.wav
n_Vc-pizz_bartok-C3-ff-3c.wav,n_Gsp_ME_f_C8.wav,n_Gsp_ME_p_C6.wav,n_Tbn-ord-C5-pp.wav,n_Gsp_ME_f_C8.wav,n_Vc-pizz_bartok-C3-ff-3c.wav
n_Fl-aeolian+ord-C4-mf.wav,n_Tbn-flatt-C4-ff.wav,n_Fl-aeolian+ord-C4-mf.wav,n_Fl-aeolian+ord-C4-ff.wav,n_Tbn-brassy-C3-ff.wav,n_Tbn-flatt-C4-ff.wav
n_Hn-ord-C5-pp.wav,n_ClBb-mul-E4_A5+_D6+_G4-mf.wav,n_Vc-ord-C6-ff.wav,n_Hn-ord-C5-pp.wav,n_Va-pizz_lv-C3-mf.wav,n_ClBb-mul-E4_A5+_D6+_G4-mf.wav
n_Tbn-ord-C5-mf.wav,n_Bn-mul-D#3+_D3_D4_A5+-mf.wav,n_Tbn-ord-C5-mf.wav,n_Bn-mul-D#3+_D3_D4_A5+-mf.wav,n_Hn-flatt-C4-pp.wav,n_Va-nonvib-C4-pp.wav
